"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"X1","","0","0","0","0","0","0","0","0","0","0.000413265833247236"
"X4","‘caus","0","0","0","6.55720505691654e-06","0","1.75598791880312e-05","0","0","0","2.58291145779523e-05"
"X5","&","8.2203041512536e-05","0","0","0.000196716151707496","0.00026649788467304","0.000456556858888811","0.000305103953275509","0","0.000330663531486516","0.000154974687467714"
"X31","à","0","0","7.34295260124096e-05","0","0","0","0","0.0117826751036439","0","0"
"X32","â","0","0","0","0","0","0","0","0","1.22467974624636e-05","0"
"X33","å","0","0","0","0","0","0","0","0","0","0"
"X34","aaah","2.7401013837512e-05","0","0","5.90148455122489e-05","0","0","0","0","0","0"
"X35","aah","0","0","0","3.93432303414992e-05","0","0","2.17931395196792e-05","0","0","0"
"X36","aan","0","0","0","0","0","0","0","0","0","0"
"X37","ab","0","0.00165230732916322","0","0.000131144101138331","0","0","0","0","0","0"
"X38","abandon","0","0","0","1.31144101138331e-05","2.22081570560867e-05","0","2.17931395196792e-05","0","2.44935949249271e-05","7.74873437338568e-05"
"X39","aber","0","0.00247846099374484","0","0","0","0","0","0","0","0"
"X40","abl","0","0","0","7.21292556260819e-05","4.44163141121734e-05","3.51197583760624e-05","4.35862790393584e-05","0","2.44935949249271e-05","2.58291145779523e-05"
"X41","aboard","0","0","0","6.55720505691654e-06","1.11040785280434e-05","1.75598791880312e-05","4.35862790393584e-05","0","0","0"
"X42","about","0.00123304562268804","0","3.67147630062048e-05","0.00175733095525363","0.00193210966387954","0.00237058369038421","0.00130758837118075","0.000218197687104517","0.000930756607147231","0.000929848124806282"
"X43","abov","2.7401013837512e-05","0","0","0.000347531868016577","4.44163141121734e-05","0.000175598791880312","0.000239724534716471","0","0.000649080265510569","0.000361607604091332"
"X44","abr","0","0","3.67147630062048e-05","0","0","0","0","0","0","0"
"X45","absenc","2.7401013837512e-05","0","0","0","0","0","0","0.000145465124736344","2.44935949249271e-05","0"
"X46","absolut","0","0","0","0","0","0","0","0","6.12339873123178e-05","0"
"X47","absurd","2.7401013837512e-05","0","0","1.31144101138331e-05","1.11040785280434e-05","0","0","0","2.44935949249271e-05","0"
"X48","abus","8.2203041512536e-05","0","7.34295260124096e-05","1.96716151707496e-05","0","8.77993959401559e-05","0","7.27325623681722e-05","2.44935949249271e-05","0"
"X49","abyss","0","0","0","0","2.22081570560867e-05","0","0","0","4.89871898498543e-05","0"
"X50","acaba","0","0","7.34295260124096e-05","0","0","0","0","0","0","0"
"X51","acabar","0","0","0.000110144289018614","0","0","0","0","0","0","0"
"X52","accept","8.2203041512536e-05","0","0","5.24576404553323e-05","7.77285496963034e-05","0","4.35862790393584e-05","7.27325623681722e-05","0.000110221177162172","2.58291145779523e-05"
"X53","accid","0","0","0","6.55720505691654e-06","1.11040785280434e-05","0","0","0","0","0"
"X54","accus","0","0","0","6.55720505691654e-06","0","8.77993959401559e-05","2.17931395196792e-05","0","0","0"
"X55","ace","0","0","0","0","4.44163141121734e-05","0","2.17931395196792e-05","0","0","0"
"X56","ach","2.7401013837512e-05","0","0","5.90148455122489e-05","0","1.75598791880312e-05","4.35862790393584e-05","0","4.89871898498543e-05","0.000103316458311809"
"X57","achiev","0.000109604055350048","0","0","1.31144101138331e-05","1.11040785280434e-05","8.77993959401559e-05","0","0","1.22467974624636e-05","5.16582291559045e-05"
"X58","acid","0","0","0","0","0","0","0","0","3.67403923873907e-05","0"
"X59","across","8.2203041512536e-05","0","0","9.18008707968316e-05","0.000144353020864564","3.51197583760624e-05","0.000414069650873905","0","0.000367403923873907","0.000129145572889761"
"X60","act","5.4802027675024e-05","0.000118021952083087","0","0.000131144101138331","0.000377538669953474","0.000193158671068343","0.000130758837118075","0","0.000183701961936953","0.000129145572889761"
"X61","action","0.00104123852582546","0","0","1.96716151707496e-05","4.44163141121734e-05","3.51197583760624e-05","8.71725580787168e-05","0","9.79743796997085e-05","0.000103316458311809"
"X62","actor","0","0","0","0","1.11040785280434e-05","0","0","0","0","0"
"X63","actual","0","0","0","6.55720505691654e-06","4.44163141121734e-05","0","0","0","0","0.000129145572889761"
"X64","ad","0","0","0","6.55720505691654e-06","3.33122355841301e-05","0","0","0","1.22467974624636e-05","5.16582291559045e-05"
"X65","adam","0","0","0","0","3.33122355841301e-05","1.75598791880312e-05","0","0","0","0"
"X66","add","0","0","0","0","2.22081570560867e-05","5.26796375640936e-05","2.17931395196792e-05","0","0","0"
